74,Alekunifesowapo
74,Leguru
58,Acme road
58,Aguda(Ogba)
58,Ajayi road
58,Ifako-ogba
58,Ogba Bus-stop
58,OGBA GRA
58,Ogba Industrial
58,Oke-Ira
58,Omole phase 1
58,Omole phase 2
58,Wempco road
120,Egbema
120,Ndoni
120,Ogba
40,Ogudu
40,Ogudu GRA
40,Ogudu-Orike
75,Abigi
75,Ijebu Manuwa
75,Iwopin
75,Ode Omi
30,Ajangbadi
30,Alaba
30,Iba
30,Ojo
30,Okokomaiko
5,Berger
5,Isheri North
5,Magodo Isheri
5,Morgan estate
5,River valley estate
5,Unity estate
5,Williams estate
5,Yakoyo/Alagbole
3,Ogudu Road
3,Ojota
43,Ago palace
43,Community road
43,Owolabi junction
52,Iganmu
6,Airport Road
6,Arowojobe
6,Bolade
6,Mafoluku
6,Ojuwoye
6,Oshodi Expressway
6,Shogunle
60,Asokoro
60,Central Area
60,Garki 1
60,Garki 2
60,Guzape
60,Mabushi
60,Maitama
60,Wuse 1
60,Wuse 2
61,Apo
61,Dakibiyu
61,Duboyi
61,Durumi
61,Dutse
61,Gaduwa
61,Gudu
61,Jabi
61,Jahi
61,Kado
61,Katampe Ext
61,Katampe Main
61,Kaura (Games Village)
61,Kukwuaba
61,Lokogoma
61,Utako
61,Wuye
62,Dakwo
62,Dape
62,Galadinmawa
62,Gwarinpa
62,Idu Industrial(Institution and Research)
62,Kabusa
62,Kafe
62,Karmo
62,Karsana
62,Life Camp
62,Nbora
62,Wumba
103,Ada George
103,Atali
103,Bori Kiri
103,Borikiri
103,Choba
103,D-Line
103,Diobu mile 1
103,Diobu mile 2
103,Diobu mile 3
103,Diobu mile 4
103,Eagle Island rumueme/Oroakwo
103,East West Road
103,Eleme
103,Eliozu
103,Elizu
103,Eneka
103,Eriebe
103,Igwurta-Ali
103,Ikwerre
103,Magbuoba
103,New GRA
103,New Layout
103,Obia-Akpor
103,Old GRA
103,Old Township
103,Oyigbo
103,Port-harcourt/Aba Expressway
103,Rukphakurusi
103,Rumolumeni
103,Rumukrueshi
103,Rumuokwurushi
103,Rumuokwuta
103,Rumuosita
103,Rupkpokwu
103,Shell Location
103,Trans Amadi
103,Wimpy
76,Ikenne
76,Ipokia
76,Isala
76,Ode Remo
77,Ode Lemo
77,Sagamu
48,Bogije
48,Majek
48,Monastery road
4,Bariga
4,Fadeyi
4,Ikorodu Road
4,Obanikoro
4,Onipanu
4,Palmgroove
4,Shomolu
63,Chika
63,Dei-Dei
63,Gwagwa
63,Gwagwalada
63,Idu
63,Jukwoyi
63,Karimu
63,Karu
63,Kubwa
63,Kuchigworro
63,Kuje
63,Kurudu
63,Lugbe
63,Mararaba
63,Mpape
63,Nyanya
63,Pyakassa
2,Abraham Adesanya
2,Adelabu
2,Adeniran Ogunsanya
2,Aguda
2,Alaka Estate
2,Alaka/Iponri
2,Bode Thomas
2,Coker
2,Eric moore
2,Gbaja
2,idi- Araba
2,Ijesha
2,Iponri
2,Itire
2,Kilo-Marsha
2,Lawanson
2,Masha
2,Ogunlana
2,Ojuelegba
2,Orile-Iganmu
2,Randle Avenue
2,Western Avenue
11,1004
11,Ademola Adetokunbo
11,Adeola Hopewell
11,Adeola Odeku
11,Ahmadu Bello Way
11,Akin Adesola
11,Akin Olugbade
11,Bonny Camp
11,Idowu Taylor
11,Karimu Kotun
11,Kofo Abayomi
11,Ligali Ayorinde
11,Saka Tinubu
11,Sanusi Fafunwa
11,Tiamiyu Savage
11,Victoria Island Extension
8,Abule-Ijesha
8,Abule-Oja
8,Adekunle
8,Akoka
8,Alagomeji
8,Ebute Metta
8,Fola Agoro
8,Iwaya
8,Jibowu
8,Onike
8,Sabo
8,Tejuosho
78,Imeko Afon
78,Yewa North
78,Yewa South
