11,233,Warji
11,234,Zaki
12,235,Brass
12,236,Ekeremor
12,237,Kolokuma/Opokuma
12,238,Nembe
12,239,Ogbia
12,240,Sagbama
12,241,Southern Jaw
12,242,Yenegoa
13,243,Ado
13,244,Agatu
13,245,Apa
13,246,Buruku
13,247,Gboko
13,248,Guma
13,249,Gwer East
13,250,Gwer West
13,251,Katsina-Ala
13,252,Konshisha
13,253,Kwande
13,254,Logo
13,255,Makurdi
13,256,Obi
13,257,Ogbadibo
13,260,Ohimini
13,258,Oju
13,259,Okpokwu
13,261,Oturkpo
13,262,Tarka
13,263,Ukum
13,264,Ushongo
13,265,Vandeikya
14,266,Abadam
14,267,Askira/Uba
14,268,Bama
14,269,Bayo
14,270,Biu
14,271,Chibok
14,272,Damboa
14,273,Dikwa
14,274,Gubio
14,275,Guzamala
14,276,Gwoza
14,277,Hawul
14,278,Jere
14,279,Kaga
14,280,Kala/Balge
14,281,Konduga
14,282,Kukawa
14,283,Kwaya Kusar
14,284,Mafa
14,285,Magumeri
14,286,Maiduguri
14,287,Marte
14,288,Mobbar
14,289,Monguno
14,290,Ngala
14,291,Nganzai
14,292,Shani
15,297,Abi
15,295,Akamkpa
15,293,Akpabuyo
15,309,Bakassi
15,308,Bekwara
15,296,Biase
15,301,Boki
15,860,Calabar
15,307,Etung
15,298,Ikom
15,304,Obanliku
15,305,Obudu
15,300,Odubra
15,294,Odukpani
15,302,Ogoja
15,303,Yala
15,299,Yarkur
16,312,Aniocha
16,313,Aniocha South
16,805,Asaba
16,320,Bomadi
16,321,Burutu
16,325,Ethiope East
16,324,Ethiope West
16,315,Ika North-East
16,314,Ika South
16,319,Isoko North
16,318,Isoko south
16,317,Ndokwa East
16,316,Ndokwa West
16,327,Okpe
16,311,Oshimili
16,334,Oshimili North
16,335,Patani
16,326,Sapele
16,331,Udu
16,323,Ughelli North
16,322,Ughelli South
16,333,Ukwani
16,330,Uvwie
16,864,Warri
17,340,Abakaliki
17,807,Afikpo
17,346,Ebonyi
17,343,Ezza
17,344,Ezza South
17,341,Ishielu
17,347,Ivo
17,342,lkwo
17,339,Ohaozara
17,345,Ohaukwu
17,338,Onicha
18,353,Central
18,351,Egor
18,349,Esan Central
18,348,Esan North-East
18,362,Esan South-East
18,350,Esan West
18,354,Etsako Central
18,361,Etsako East
18,355,Igueben
18,356,Oredo
18,359,Orhionwon
18,358,Ovia South-East
18,357,Ovia SouthWest
18,360,Uhunmwonde
18,352,Ukpoba
19,378,Ado-Ekiti
19,375,Efon
19,366,Ekiti South-West
19,363,Ekiti-East
19,364,Ekiti-West
19,365,Emure/Ise/Orun
19,374,Gbonyin
19,370,Ido/Osi
19,369,Ijero
19,367,Ikare
19,372,Ikole
19,377,Ilejemeje
19,368,Irepodun-Ekiti
19,376,Ise/Orun
19,373,Moba
19,371,Oye
20,411,Akko
20,412,Balanga
20,413,Billiri
20,414,Dukku
20,418,Funakaye
20,419,Gombe
20,415,Kaltungo
20,416,Kwami
20,420,Nafada/Bajoga
20,417,Shomgom
20,421,Yamaltu/Delta
21,422,Aboh-Mbaise
21,423,Ahiazu-Mbaise
21,424,Ehime-Mbano
21,425,Ezinihitte
21,426,Ideato North
21,427,Ideato South
21,428,Ihitte/Uboma
21,429,Ikeduru
21,430,Isiala Mbano
21,431,Isu
21,432,Mbaitoli
